,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,90,US,1580062115,86,42.1,-79.24,34,14.99
1,atar,99,MR,1580062346,17,20.52,-13.05,82.33,11.48
2,clyde river,75,CA,1580062346,68,70.47,-68.59,-18.4,16.11
3,alta floresta,40,BR,1580062346,66,-9.88,-56.09,89.6,4.7
4,namibe,20,AO,1580062346,73,-15.2,12.15,77,9.17
5,hobart,90,AU,1580062346,44,-42.88,147.33,60.8,8.05
6,khatanga,95,RU,1580062346,98,71.97,102.5,-19.89,3.06
7,jamame,31,SO,1580062346,88,0.07,42.75,80.91,14.23
8,bethel,75,US,1580062346,52,41.37,-73.41,46.99,13.87
9,saskylakh,98,RU,1580062347,96,71.92,114.08,-17.21,9.6
10,nanortalik,100,GL,1580062347,72,60.14,-45.24,22.21,18.99
11,ahuimanu,20,US,1580062054,83,21.44,-157.84,72,3.36
12,puerto ayora,75,EC,1580062347,65,-0.74,-90.35,82.4,5.82
13,busselton,0,AU,1580062347,37,-33.65,115.33,72,9.4
14,kapaa,40,US,1580062347,88,22.08,-159.32,73.4,6.93
15,yumen,0,CN,1580062347,58,40.28,97.2,17.29,7.83
16,saint-pierre,75,RE,1580062347,69,-21.34,55.48,78.8,17.22
17,labuhan,2,ID,1580062347,85,-6.88,112.21,77.02,0.72
18,lebu,14,CL,1580062347,47,-37.62,-73.65,73.78,11.79
19,cidreira,4,BR,1580062348,69,-30.18,-50.21,78.33,9.73
20,bang saphan,20,TH,1580062348,84,11.21,99.51,74.1,5.77
21,hithadhoo,99,MV,1580062348,82,-0.6,73.08,80.69,10.02
22,tapes,49,BR,1580062348,58,-30.67,-51.4,79.81,7.2
23,iqaluit,20,CA,1580062348,67,63.75,-68.51,-27,12.75
24,morant bay,40,JM,1580062348,58,17.88,-76.41,84.2,6.93
25,san andres,20,CO,1580062248,62,12.58,-81.7,84.2,10.29
26,ucluelet,75,CA,1580062284,87,48.93,-125.55,48.2,8.05
27,east london,97,ZA,1580062348,45,-33.02,27.91,68,21.92
28,butaritari,97,KI,1580062348,73,3.07,172.79,84.9,13.18
29,vaini,75,TO,1580062348,100,-21.2,-175.2,75.2,3.36
30,hilo,40,US,1580062349,64,19.73,-155.09,70,8.05
31,ushuaia,40,AR,1580062349,81,-54.8,-68.3,48.2,23.04
32,kahului,20,US,1580062349,77,20.89,-156.47,73,11.41
33,rikitea,68,PF,1580062349,79,-23.12,-134.97,79.29,14.5
34,bamako,68,ML,1580062349,6,12.65,-8,93.2,8.05
35,dingle,43,PH,1580062349,91,11,122.67,73.92,3.06
36,torbay,20,CA,1580062349,54,47.67,-52.73,36,5.82
37,ahipara,0,NZ,1580062349,100,-35.17,173.17,63,6.42
38,manaus,40,BR,1580062349,70,-3.1,-60.02,89.6,3.36
39,montorio al vomano,100,IT,1580062349,93,42.58,13.64,50,1.5
40,karangasem,40,ID,1580062350,83,-8.45,115.62,84.2,5.82
41,new norfolk,90,AU,1580062350,44,-42.78,147.06,60.8,8.05
42,shimoda,100,JP,1580062350,65,34.67,138.95,41,1.99
43,mataura,70,NZ,1580062350,91,-46.19,168.86,54,1.01
44,kruisfontein,20,ZA,1580062350,71,-34,24.73,58.77,19.89
45,carnarvon,0,AU,1580062350,94,-24.87,113.63,77,12.75
46,qaanaaq,0,GL,1580062350,57,77.48,-69.36,-10.52,5.88
47,teknaf,7,BD,1580062350,65,20.86,92.31,51.46,3.11
48,nikolskoye,75,RU,1580062350,86,59.7,30.79,33.8,8.95
49,cuicatlan,2,MX,1580062351,40,17.8,-96.97,78.82,2.39
50,fairbanks,85,US,1580062309,73,64.84,-147.72,-15,2.21
51,ribeira grande,20,PT,1580062351,82,38.52,-28.7,64.4,14.99
52,alindao,0,CF,1580062351,23,5.03,21.21,79.95,3.04
53,barrow,20,US,1580062351,74,71.29,-156.79,-23.8,10.29
54,pampa,1,US,1580062351,34,35.54,-100.96,53.6,4.45
55,cabedelo,75,BR,1580062351,58,-6.98,-34.83,87.8,12.75
56,itaituba,20,BR,1580062351,56,-4.28,-55.98,93.2,2.51
57,necochea,70,AR,1580062351,51,-38.55,-58.74,77,10
58,albany,75,US,1580062351,67,42.6,-73.97,43,6.93
59,college,67,US,1580062351,73,64.86,-147.8,-15,2.93
60,casper,1,US,1580062352,59,42.87,-106.31,44.01,18.34
61,nampula,75,MZ,1580062352,94,-15.12,39.27,73.4,10.29
62,tasiilaq,90,GL,1580062352,44,65.61,-37.64,32,11.41
63,buala,20,SB,1580062352,83,-8.14,159.59,78.82,5.73
64,yellowknife,75,CA,1580062352,85,62.46,-114.35,10.4,8.05
65,sinnamary,28,GF,1580062352,80,5.38,-52.95,80.49,16.75
66,muisne,75,EC,1580062352,94,0.6,-80.03,80.6,4.7
67,punta arenas,20,CL,1580062098,54,-53.15,-70.92,57.2,31.09
68,oksfjord,40,NO,1580062352,92,70.24,22.35,17.6,3.36
69,port elizabeth,20,ZA,1580062352,68,-33.92,25.57,64.4,19.46
70,bluff,44,NZ,1580062352,91,-46.6,168.33,54,1.01
71,paamiut,42,GL,1580062353,66,61.99,-49.67,15.98,18.57
72,talnakh,75,RU,1580062353,84,69.49,88.4,3.2,13.42
73,talcahuano,37,CL,1580062353,60,-36.72,-73.12,75.2,14.99
74,chokwe,0,MZ,1580062353,45,-24.53,32.98,86.52,4.18
75,bakchar,100,RU,1580062353,91,57.02,82.07,8.37,10
76,bayan,0,CN,1580062353,85,46.08,127.4,0.25,4.5
77,olafsvik,100,IS,1580062354,88,64.89,-23.71,31.14,8.25
78,haines junction,100,CA,1580062354,98,60.75,-137.51,-12.6,4.74
79,brigantine,40,US,1580062354,49,39.41,-74.36,48.99,19.46
80,cape town,20,ZA,1580062305,63,-33.93,18.42,66.99,11.41
81,qingdao,100,CN,1580062354,64,36.1,120.37,37.99,6.71
82,chilca,20,PE,1580062113,69,-12.52,-76.74,80.6,10.29
83,pareora,93,NZ,1580062354,97,-44.49,171.21,62.01,2.57
84,thunder bay,90,CA,1580062354,79,48.4,-89.32,33.01,5.82
85,aklavik,40,CA,1580062354,68,68.22,-135.01,-20.2,3.36
86,arraial do cabo,0,BR,1580062354,58,-22.97,-42.03,86,13.87
87,popondetta,78,PG,1580062355,93,-8.75,148.25,74.17,2.75
88,interlaken,90,US,1580062355,93,36.95,-121.73,59,2.93
89,severo-kurilsk,100,RU,1580062355,92,50.68,156.12,18.34,16.17
90,ulaangom,100,MN,1580062355,93,49.98,92.07,-5.28,2.3
91,yulara,0,AU,1580062355,19,-25.24,130.99,75.2,4.7
92,pierre,1,US,1580062355,74,44.37,-100.35,41,11.41
93,port alfred,93,ZA,1580062355,77,-33.59,26.89,64.99,11.99
94,luzhou,99,CN,1580062355,68,28.87,105.44,49.91,6.55
95,nexo,100,DK,1580062355,93,55.06,15.13,39.2,8.05
96,faya,0,SA,1580062355,28,18.39,42.45,55.4,8.05
97,klaksvik,72,FO,1580062355,61,62.23,-6.59,35.6,17.22
98,bayshore gardens,1,US,1580062355,34,27.43,-82.59,68,4.7
99,salalah,0,OM,1580062356,29,17.02,54.09,75.2,20.8
100,abay,75,KZ,1580062356,85,49.63,72.85,19.4,29.08
101,hermanus,7,ZA,1580062131,75,-34.42,19.23,63,1.99
102,chuy,33,UY,1580062356,51,-33.7,-53.46,85.89,6.49
103,pemangkat,100,ID,1580062356,92,1.17,108.97,77.07,6.29
104,avarua,100,CK,1580062356,88,-21.21,-159.78,80.6,11.41
105,merauke,71,ID,1580062356,91,-8.47,140.33,78.49,3.89
106,atuona,0,PF,1580062356,75,-9.8,-139.03,80.29,15.23
107,castro,2,BR,1580062356,33,-24.79,-50.01,83.8,4.32
108,norman wells,75,CA,1580062356,75,65.28,-126.83,-18.4,3.36
109,rio grande,75,BR,1580062135,52,-32.03,-52.1,93.2,14.99
110,wawa,6,NG,1580062357,22,9.9,4.42,81.86,3.87
111,nata,85,PA,1580062357,26,8.33,-80.52,86,14.92
112,dunedin,100,NZ,1580062357,95,-45.87,170.5,57.99,1.01
113,chambersburg,1,US,1580062357,52,39.94,-77.66,46.4,16.11
114,chaoyang,65,CN,1580062357,64,41.57,120.46,20.64,1.01
115,baykit,79,RU,1580062357,96,61.67,96.37,2.52,3.42
116,amahai,89,ID,1580062357,79,-3.33,128.92,82.31,5.99
117,bud,90,US,1580062357,85,39.45,-86.18,39,6.93
118,saldanha,0,ZA,1580062357,40,-33.01,17.94,68,14.99
119,yar-sale,85,RU,1580062357,100,66.83,70.83,-12.55,1.14
120,port macquarie,49,AU,1580062357,94,-31.43,152.92,73.99,3.36
121,amga,41,RU,1580062326,90,60.9,131.96,-32.06,3.83
122,kaitangata,90,NZ,1580062361,86,-46.28,169.85,56.84,9.73
123,bambous virieux,40,MU,1580062361,78,-20.34,57.76,78.8,9.17
124,sirnak,4,TR,1580062361,64,37.52,42.46,29.82,1.77
125,estepa,38,ES,1580062340,76,37.29,-4.88,57.2,1.12
126,souillac,40,MU,1580062361,78,-20.52,57.52,78.8,9.17
127,naze,75,JP,1580062361,100,28.37,129.48,71.6,9.17
128,tiksi,0,RU,1580062361,68,71.69,128.87,-31.56,3.11
129,blackwater,100,AU,1580062361,77,-23.58,148.88,75.65,13.87
130,innisfail,100,AU,1580062361,93,-17.53,146.03,75.13,2.75
131,touros,40,BR,1580062343,59,-5.2,-35.46,89.6,16.11
132,payo,98,ID,1580062362,97,-3.75,103.64,68.32,1.77
133,kudahuvadhoo,99,MV,1580062362,74,2.67,72.89,81.46,11.01
134,padang,100,ID,1580062072,97,-0.95,100.35,68.76,2.93
135,bondo,23,CD,1580062362,28,3.81,23.69,79.54,3.13
136,dikson,99,RU,1580062362,96,73.51,80.55,-3.95,2.57
137,nandyal,0,IN,1580062183,59,15.48,78.48,73.38,2.86
138,tuktoyaktuk,75,CA,1580062362,75,69.45,-133.04,-18.4,9.17
139,cockburn town,54,TC,1580062362,77,21.46,-71.14,75.2,12.37
140,plettenberg bay,42,ZA,1580062363,76,-34.05,23.37,61.18,12.95
141,ahar,36,IR,1580062363,77,38.48,47.07,11.57,4.72
142,mar del plata,96,AR,1580062363,39,-38,-57.56,82.4,11.41
143,ambovombe,13,MG,1580062363,72,-25.17,46.08,70.48,5.44
144,radovitskiy,99,RU,1580062363,87,55.13,39.8,30,5.99
145,los llanos de aridane,20,ES,1580062363,68,28.66,-17.92,66.2,4.7
146,lompoc,90,US,1580062363,100,34.64,-120.46,61,12.75
147,emba,99,KZ,1580062145,92,48.83,58.14,23.47,27.51
148,doha,2,QA,1580062322,67,25.29,51.53,59,12.75
149,sao joao da barra,75,BR,1580062364,65,-21.64,-41.05,82.4,8.05
150,esperance,8,AU,1580062364,93,-33.87,121.9,62.6,5.82
151,hasaki,75,JP,1580062364,62,35.73,140.83,36,6.93
152,provideniya,0,RU,1580062364,90,64.38,-173.3,-6.68,1.5
153,tavistock,20,GB,1580062364,93,50.55,-4.14,48,6.93
154,harper,33,LR,1580062146,74,4.38,-7.72,82.99,7.18
155,port lincoln,3,AU,1580062364,84,-34.73,135.87,62.38,9.33
156,san cristobal,75,VE,1580062364,83,7.77,-72.22,77,8.05
157,idappadi,53,IN,1580062364,56,11.58,77.85,71.65,3.56
158,beira,20,MZ,1580062202,74,-19.84,34.84,82.4,9.17
159,coquimbo,20,CL,1580062192,73,-29.95,-71.34,69.8,14.99
160,kalmunai,100,LK,1580062079,69,7.42,81.82,80.11,11.18
161,nagato,75,JP,1580062365,71,34.38,131.2,50,18.34
162,sabang,40,ID,1580062365,72,5.89,95.32,82.13,10.85
163,mackay,90,AU,1580062365,94,-21.15,149.2,78.01,5.82
164,akyab,31,MM,1580062365,53,20.15,92.9,67.19,15.39
165,hami,97,CN,1580062365,67,42.8,93.45,11.26,2.71
166,saint-philippe,75,RE,1580062365,69,-21.36,55.77,78.8,17.22
167,luderitz,29,NA,1580062365,74,-26.65,15.16,67.14,34.07
168,ati,0,TD,1580062365,22,13.22,18.34,68.72,5.23
169,rio verde de mato grosso,73,BR,1580062365,56,-18.92,-54.84,88.23,1.59
170,avera,1,US,1580062365,34,33.19,-82.53,57.2,8.05
171,savonlinna,90,FI,1580062365,79,61.87,28.92,23,11.41
172,loralai,1,PK,1580062366,74,30.37,68.6,42.08,6.15
173,luganville,19,VU,1580062366,96,-15.53,167.17,72.28,1.77
174,buraydah,0,SA,1580062366,66,26.33,43.98,50,5.93
175,toamasina,75,MG,1580062366,83,-18.17,49.38,75.2,4.7
176,cherskiy,100,RU,1580062366,94,68.75,161.3,-17.61,1.23
177,tanout,85,NE,1580062366,11,14.97,8.89,69.8,11.41
178,coahuayana,75,MX,1580062366,53,18.73,-103.68,75.2,6.13
179,sao filipe,0,CV,1580062366,58,14.9,-24.5,76.8,14.5
180,atambua,17,ID,1580062366,90,-9.11,124.89,76.23,1.88
181,sungaipenuh,100,ID,1580062366,98,-2.08,101.38,64.47,0.07
182,fortuna,90,US,1580062367,87,40.6,-124.16,55,6.93
183,port hardy,75,CA,1580062367,93,50.7,-127.42,42.8,6.93
184,bengkulu,100,ID,1580062367,88,-3.8,102.27,75.56,3.36
185,emerald,90,AU,1580062367,100,-23.53,148.17,75.2,8.05
186,muroto,100,JP,1580062367,87,33.28,134.15,45.66,10.02
187,constitucion,21,CL,1580062367,62,-35.33,-72.42,72.14,12.01
188,dongsheng,99,CN,1580062367,92,39.82,109.98,20.59,3.8
189,iquique,20,CL,1580062119,61,-20.22,-70.14,80.6,17.22
190,waingapu,1,ID,1580062367,73,-9.66,120.26,84,3.6
191,amriswil,90,CH,1580062367,100,47.55,9.3,41,3.36
192,santa cruz del sur,0,CU,1580062367,74,20.71,-78,75.52,9.08
193,zhanaozen,100,KZ,1580062368,84,43.3,52.8,34.25,16.91
194,cabo san lucas,5,MX,1580062299,64,22.89,-109.91,73.99,2.24
195,upernavik,100,GL,1580062172,96,72.79,-56.15,-17,3.56
196,kavieng,74,PG,1580062368,76,-2.57,150.8,83.48,7.94
197,astana,100,KZ,1580062337,92,51.18,71.45,22.08,30.8
198,vanimo,100,PG,1580062368,81,-2.67,141.3,82.63,15.17
199,dera bugti,0,PK,1580062368,44,29.03,69.15,58.78,7.81
200,hanmer springs,76,NZ,1580062368,76,-42.52,172.82,63,4.9
201,kalamaria,20,GR,1580062368,81,40.58,22.95,52,4.7
202,maun,96,BW,1580062368,38,-19.98,23.42,83.7,2.51
203,awbari,26,LY,1580062369,13,26.59,12.78,64.63,9.55
204,cam ranh,75,VN,1580062369,83,11.92,109.16,77,17.22
205,okhotsk,94,RU,1580062369,75,59.38,143.3,-10.71,12.19
206,goure,15,NE,1580062369,12,13.98,10.27,73.99,5.99
207,tumbes,40,PE,1580062369,33,-3.57,-80.44,89.6,13.87
208,yerbogachen,95,RU,1580062369,87,61.28,108.01,8.47,14.29
209,novoagansk,100,RU,1580062369,97,61.94,76.66,-3.1,7.63
210,sidney,75,AU,1580062130,83,-33.87,151.21,75.99,17.22
211,inhambane,20,MZ,1580062369,78,-23.86,35.38,82.4,13.87
212,srednekolymsk,100,RU,1580062369,97,67.45,153.68,-24.52,4.65
213,bilma,0,NE,1580062369,11,18.69,12.92,66.88,8.86
214,hamilton,90,US,1580062369,80,39.18,-84.53,37.99,8.05
215,chernyshevsk,94,RU,1580062370,92,52.52,117.02,-5.91,1.01
216,maniwaki,100,CA,1580062339,99,46.38,-75.97,33.06,3.62
217,sawtell,87,AU,1580062370,73,-30.38,153.1,77,10.29
218,millinocket,90,US,1580062370,93,45.66,-68.71,41,4.7
219,bredasdorp,0,ZA,1580062370,55,-34.53,20.04,63,9.17
220,pangnirtung,5,CA,1580062370,66,66.15,-65.71,-29.2,3.36
221,mahebourg,40,MU,1580062370,78,-20.41,57.7,78.8,9.17
222,ust-nera,90,RU,1580062370,100,64.57,143.2,-40.56,1.9
223,de-kastri,0,RU,1580062370,85,51.47,140.78,-2.72,10.76
224,broken hill,0,AU,1580062370,33,-31.95,141.43,77,17.22
225,mana,56,GF,1580062370,82,5.66,-53.78,82.02,6.02
226,sept-iles,90,CA,1580062371,85,50.2,-66.38,26.01,12.75
227,newport,40,GB,1580062371,100,51.59,-3,46.99,10.29
228,goderich,100,CA,1580062371,83,43.75,-81.72,36,3
229,ostrov,99,RU,1580062371,80,57.34,28.35,41,13.42
230,faanui,57,PF,1580062371,74,-16.48,-151.75,82.44,11.03
231,treinta y tres,49,UY,1580062371,28,-33.23,-54.38,92.21,5.46
232,tazovskiy,81,RU,1580062371,97,67.47,78.7,-6.32,5.55
233,murud,0,IN,1580062371,59,18.33,72.97,69.21,0.78
234,thompson,20,CA,1580062371,84,55.74,-97.86,1.4,5.82
235,ancud,20,CL,1580062371,55,-41.87,-73.82,66.2,8.05
236,san jose,75,US,1580062140,87,37.34,-121.89,59,3.36
237,georgetown,20,MY,1580062200,78,5.41,100.34,80.6,1.12
238,narsaq,100,GL,1580062372,66,60.92,-46.05,12.2,3.36
239,porto novo,15,BJ,1580062372,42,6.5,2.6,86,6.93
240,mungwi,99,ZM,1580062372,97,-10.17,31.37,65.19,1.57
241,denpasar,40,ID,1580062255,83,-8.65,115.22,84.2,5.82
242,gravdal,20,NO,1580062372,63,68.12,13.5,26.6,17.22
243,harstad,99,NO,1580062372,57,68.8,16.53,23,20.8
244,saint-augustin,100,CA,1580062372,92,51.23,-58.65,26.2,8.57
245,brandon,1,US,1580062277,42,27.94,-82.29,68,4.18
246,kant,0,IN,1580062372,77,27.8,79.8,54.59,6.35
247,scarborough,100,GB,1580062373,100,54.28,-0.4,46.99,10.29
248,manacapuru,40,BR,1580062373,66,-3.3,-60.62,89.6,5.82
249,lavrentiya,0,RU,1580062373,81,65.58,-171,-14.71,1.41
250,kyenjojo,100,UG,1580062373,46,0.63,30.62,67.64,3.4
251,datong,100,CN,1580062373,76,40.09,113.29,17.22,2.26
252,codrington,95,AU,1580062373,76,-38.27,141.97,59.47,6.69
253,zhigansk,79,RU,1580062373,76,66.77,123.37,-30.33,3.71
254,urumqi,18,CN,1580062373,92,43.8,87.6,6.8,2.24
255,boda,79,CF,1580062373,20,4.32,17.47,77.58,2.57
256,camacha,20,PT,1580062374,59,33.08,-16.33,64.4,8.05
257,dunkirk,96,FR,1580062374,87,51.05,2.37,46,13.87
258,makakilo city,1,US,1580062374,83,21.35,-158.09,72,4.7
259,bairiki,40,KI,1580062374,88,1.33,172.98,80.6,2.24
260,victoria,40,HK,1580062326,71,22.29,114.16,57,14.99
261,hofn,75,IS,1580062374,86,64.25,-15.21,33.8,5.82
262,lakes entrance,76,AU,1580062374,82,-37.88,147.98,64.99,6.98
263,lagoa,100,PT,1580062374,80,39.05,-27.98,60.76,14.34
264,stavern,90,NO,1580062374,100,59,10.03,43,14.99
265,waipawa,8,NZ,1580062374,93,-41.41,175.52,66.2,23.04
266,sovetskiy,100,RU,1580062374,96,61.36,63.58,0.66,4.65
267,athabasca,33,CA,1580062275,87,54.72,-113.29,24.22,9.78
268,flin flon,90,CA,1580062375,85,54.77,-101.86,19.4,2.57
269,basak,57,PH,1580062375,82,6.73,124.15,79.03,3.76
270,shache,100,CN,1580062375,60,38.42,77.24,25.57,1.03
271,korla,2,CN,1580062375,49,41.76,86.15,15.71,2.51
272,keffi,31,NG,1580062375,17,8.85,7.87,91.4,2.24
273,champerico,0,GT,1580062375,55,14.3,-91.92,86,4.7
